Financial Year,Period of Payment,Beneficiary Count
2018-19,1st Period (Dec 18-March 19),2161247
2019-2020,2nd Period (April-July 19),2970900
2019-2020,3rd Period (Aug-Nov 19),3374038
2019-2020,4th Period (Dec 19-Mach 20),3437327
2020-2021,5th period (April-July 20),4304738
2020-2021,6th Period (Aug-Nov 20),4408819
2020-2021,7th Period (Dec 20-Mach 21),3751547
2021-2022,8th Period (April-July 21),3773783
2021-2022,9th Period (Aug-Nov 21),3709946
2021-2022,10th Period (Dec 21-March 22),3673635
2022-2023,11th Period (April-July 22) (as on 30.06.2022),3186431
