Sl. No.,State/UT,2018-19,2019-20,2020-21
1,Andaman and Nicobar,7915,1007,3000
2,Andhra Pradesh,5955299,226487,0
3,Arunachal Pradesh,22128,225,53
4,Assam,1300901,66218,0
5,Bihar,5068432,123866,305223
6,Chhattisgarh,3105840,59302,387
7,Dadra and Nagar Haveli,12994,0,0
8,Goa,12520,2938,6556
9,Gujarat,8694942,63591,0
10,Haryana,4082642,25235,18972
11,Himachal Pradesh,627108,19671,5168
12,Jammu and Kashmir,946770,70246,159890
13,Jharkhand,545461,58572,0
14,Karnataka,6157661,65034,40104
15,Kerala,2209717,80045,118022
16,Madhya Pradesh,5992885,127585,133000
17,Maharashtra,9545517,201837,0
18,Manipur,114522,10010,10010
19,Meghalaya,205802,3243,8531
20,Mizoram,15901,2119,0
21,Nagaland,6000,27304,0
22,Odisha,1544049,162405,52056
23,Puducherry,12089,2508,64
24,Punjab,1160568,17793,19196
25,Rajasthan,10457699,86341,33347
26,Sikkim,66000,2936,0
27,Tamil Nadu,5197325,58317,32750
28,Telangana,4226005,110664,165527
29,Tripura,96100,15602,6467
30,Uttar Pradesh,8348647,255517,20000
31,Uttarakhand,524437,13645,6700
32,West Bengal,3298000,4520,0
Total,Total,89561876,1964783,1145023
